date,symbol,weight,price,equity
2026-06-20,SPY,0.1453333147148718,746.739990234375,100000.0
2026-06-20,QQQ,0.0928955694875333,740.6199951171875,100000.0
2026-06-20,EFA,0.1246182522393981,104.41000366210938,100000.0
2026-06-20,EEM,0.079219524539711,70.79000091552734,100000.0
2026-06-20,IWM,0.1369662843918832,295.5899963378906,100000.0
2026-06-20,TLT,0.0,86.75,100000.0
2026-06-20,IEF,0.0,94.36000061035156,100000.0
2026-06-20,DBC,0.0878802451781579,27.6299991607666,100000.0
2026-06-20,USO,0.0426442421512091,114.87000274658205,100000.0
2026-06-20,GLD,0.0,387.1199951171875,100000.0
2026-06-20,VNQ,0.1399072421292014,95.55999755859376,100000.0
2026-06-20,BTC,0.0,62896.47265625,100000.0
2026-06-20,ETH,0.0,1709.533447265625,100000.0
2026-06-22,SPY,0.1452179989781723,744.3900146484375,100000.0
2026-06-22,QQQ,0.0928870593625985,737.9500122070312,100000.0
2026-06-22,EFA,0.1245428505222296,104.58000183105467,100000.0
2026-06-22,EEM,0.0793363592599301,71.20999908447266,100000.0
2026-06-22,IWM,0.1369144496656547,298.17999267578125,100000.0
2026-06-22,TLT,0.0011349635236362,86.08999633789062,100000.0
2026-06-22,IEF,0.0,94.0,100000.0
2026-06-22,DBC,0.072097214632737,27.40999984741211,100000.0
2026-06-22,USO,0.0353996653478283,112.69000244140624,100000.0
2026-06-22,GLD,0.0,384.5899963378906,100000.0
2026-06-22,VNQ,0.1397409696931653,96.58999633789062,100000.0
2026-06-22,BTC,0.0,63901.98828125,100000.0
2026-06-22,ETH,0.0,1725.510009765625,100000.0
2026-06-23,SPY,0.1448867276247817,733.5800170898438,100000.0
2026-06-23,QQQ,0.0928673765349271,713.6500244140625,100000.0
2026-06-23,EFA,0.1248515353515091,102.45999908447266,100000.0
2026-06-23,EEM,0.0794922315791513,67.16999816894531,100000.0
2026-06-23,IWM,0.1370367317829047,295.32000732421875,100000.0
2026-06-23,TLT,0.0073847046426194,86.19999694824219,100000.0
2026-06-23,IEF,0.0,94.12000274658205,100000.0
2026-06-23,DBC,0.0722121927348776,27.1200008392334,100000.0
2026-06-23,USO,0.0355300048654688,111.26000213623048,100000.0
2026-06-23,GLD,0.0,377.3200073242188,100000.0
2026-06-23,VNQ,0.1399187953702708,97.86000061035156,100000.0
2026-06-23,BTC,0.0,62561.25,100000.0
2026-06-23,ETH,0.0,1661.2099609375,100000.0
2026-06-24,SPY,0.14530204854728462,733.239990234375,100000.0
2026-06-24,QQQ,0.09290768585112197,710.6199951171875,100000.0
2026-06-24,EFA,0.1247517073080734,102.26000213623047,100000.0
2026-06-24,EEM,0.07933618829929895,67.25,100000.0
2026-06-24,IWM,0.16375310121465747,296.69000244140625,100000.0
2026-06-24,TLT,0.02449957267712412,87.37999725341797,100000.0
2026-06-24,IEF,0.0,94.7300033569336,100000.0
2026-06-24,DBC,0.04589575473259788,26.450000762939453,100000.0
2026-06-24,USO,0.026204477100899397,106.29000091552734,100000.0
2026-06-24,GLD,0.0,365.9200134277344,100000.0
2026-06-24,VNQ,0.1396979678112913,97.01000213623047,100000.0
2026-06-24,BTC,0.0,60956.3515625,100000.0
2026-06-24,ETH,0.0,1619.0899658203125,100000.0
